,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,DESCRICAO,DESCRICAO HISTORICO,CODIGO CENSUP,CODIGO EMEC,CODIGO SISTEC,CODIGO EDUCACENSO,ANO LETIVO,PERIODO LETIVO,DATA INICIO,DATA FIM,ATIVO,POSSUI ALUNO CURSANDO,CODIGO,NATUREZA PARTICIPACAO,MODALIDADE,AREA,EIXO,AREA CAPES,PERIODICIDADE,EXIGE ENADE,EXIGE COLACAO GRAU,EMITE DIPLAMA,AREA CONCENTRACAO,PROGRAMA,DIRETORIA,COORDENADOR,NUMERO PORTARIA COORDENADOR,TITULO CERTIFICADO MASCULINO,TITULO CERTIFICADO FEMININO,INCONSISTENCIAS
2356,Ciências Humanas e suas Tecnologias para o ENEM e demais,Ciências Humanas e suas Tecnologias para o ENEM e demais,-,-,-,-,2024,1,11/03/2024,-,Sim,Não,SOR043,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SOR (CEX),Andressa Rodrigues (3161560),-,Ciências Humanas e suas Tecnologias para o ENEM e demais,Ciências Humanas e suas Tecnologias para o ENEM e demais,
2358,Matemática Básica,Matemática Básica,-,-,-,-,2024,1,06/03/2024,-,Sim,Não,CTD048,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Matemática Básica,Matemática Básica,
2359,Ciências Humanas: Pensar o saber para saber pensar,Ciências Humanas: Pensar o saber para saber pensar,-,-,-,-,2024,1,14/03/2024,-,Sim,Não,IST003,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/IST (CEX),Marcos da Cruz Alves Siqueira (2994799),-,Ciências Humanas: Pensar o saber para saber pensar,Ciências Humanas: Pensar o saber para saber pensar,
2360,Sistemas Gypsum Light Steel Framing: teoria e prática,Sistemas Gypsum Light Steel Framing: teoria e prática,-,-,-,-,2024,1,28/02/2024,-,Sim,Não,SPO050,Presencial,FIC,-,Infraestrutura,-,3,Não,Não,Sim,-,-,DRG/SPO (CEX),Caio Cabral da Silva (2146617),4343/2024,Sistemas Gypsum Light Steel Framing: teoria e prática,Sistemas Gypsum Light Steel Framing: teoria e prática,
2361,Libras Básico,Libras Básico,-,-,-,-,2024,1,07/03/2024,-,Sim,Sim,SMP025,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SMP (CEX),Suzy Sayuri Sassamoto Kurokawa (1294040),-,Libras Básico,Libras Básico,
2363,Inglês Básico I,Inglês Básico I,-,-,-,-,2024,1,14/03/2024,-,Sim,Não,SMP027,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SMP (CEX),Suzy Sayuri Sassamoto Kurokawa (1294040),-,Inglês Básico I,Inglês Básico I,
2364,Yoga - um caminho para transformação I,Yoga - um caminho para transformação I,-,-,-,-,2024,1,07/03/2024,-,Sim,Não,ITP033,Presencial,FIC,-,Ambiente e Saúde,-,3,Não,Não,Sim,-,-,DRG/ITP (CEX),Vicente Pereira de Barros (1659369),-,Yoga - um caminho para transformação I,Yoga - um caminho para transformação I,
2365,História e cultura das populações negras e indígenas no Brasil,História e cultura das populações negras e indígenas no Brasil,-,-,-,-,2024,1,12/03/2024,-,Sim,Não,SMP028,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SMP (CEX),Suzy Sayuri Sassamoto Kurokawa (1294040),-,História e cultura das populações negras e indígenas no Brasil,História e cultura das populações negras e indígenas no Brasil,
2366,Capoeira Angola como atividade desportiva e socioeducativa,Capoeira Angola como atividade desportiva e socioeducativa,-,-,-,-,2024,1,26/03/2024,-,Sim,Não,PRC0034,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PRC (CEX),Lilian Marques Pino (1736491),-,Capoeira Angola como atividade desportiva e socioeducativa,Capoeira Angola como atividade desportiva e socioeducativa,
2367,Futsal - fundamentos,Futsal - fundamentos,-,-,-,-,2024,1,11/03/2024,-,Sim,Sim,BRI024,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRI (CEX),Joao Paulo Crivellaro de Menezes (2168049),-,Futsal - fundamentos,Futsal - fundamentos,
2368,Cestinhas do futuro - fundamentos de basquete,Cestinhas do futuro - fundamentos de basquete,-,-,-,-,2024,1,12/03/2024,-,Sim,Sim,BRI025,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRI (CEX),Joao Paulo Crivellaro de Menezes (2168049),-,Cestinhas do futuro - fundamentos de basquete,Cestinhas do futuro - fundamentos de basquete,
2369,Xadrez - nível básico,Xadrez - nível básico,-,-,-,-,2024,1,11/03/2024,-,Sim,Não,BRI026,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRI (CEX),Joao Paulo Crivellaro de Menezes (2168049),-,Xadrez - nível básico,Xadrez - nível básico,
2370,Voleibol,Voleibol,-,-,-,-,2024,1,15/03/2024,-,Sim,Sim,BRI027,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRI (CEX),Joao Paulo Crivellaro de Menezes (2168049),-,Voleibol,Voleibol,
2371,Defesa Pessoal I,Defesa Pessoal I,-,-,-,-,2024,1,16/03/2024,-,Sim,Sim,BRI028,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRI (CEX),Joao Paulo Crivellaro de Menezes (2168049),-,Defesa Pessoal I,Defesa Pessoal I,
2372,Educação em Direitos Humanos,Educação em Direitos Humanos,-,-,-,-,2024,1,16/03/2024,-,Sim,Sim,BRI029,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRI (CEX),Joao Paulo Crivellaro de Menezes (2168049),-,Educação em Direitos Humanos,Educação em Direitos Humanos,
2373,Cursinho preparatório para ENEM - Módulo III (Física),Cursinho preparatório para ENEM - Módulo III (Física),-,-,-,-,2024,1,18/03/2024,-,Sim,Sim,SZN029,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SZN (CEX),Raimundo Nonato Pereira da Silva (1176145),-,Cursinho preparatório para ENEM - Módulo III (Física),Cursinho preparatório para ENEM - Módulo III (Física),
2374,Introdução ao Arduino,Introdução ao Arduino,-,-,-,-,2024,1,11/03/2024,-,Sim,Sim,AVR088,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/AVR (CEX),Elaine Aparecida Campideli Hoyos (2168045),-,Introdução ao Arduino,Introdução ao Arduino,
2375,Computação Criativa para o Ensino Fundamental - Módulo 2 - Aplicativos para celular,Computação Criativa para o Ensino Fundamental - Módulo 2 - Aplicativos para celular,-,-,-,-,2024,1,06/03/2024,-,Sim,Não,BRA024,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/BRA (CEX),Joao Junior Marques de Lima (1897879),-,Computação Criativa para o Ensino Fundamental - Módulo 2 - Aplicativos para celular,Computação Criativa para o Ensino Fundamental - Módulo 2 - Aplicativos para celular,
2377,Arduino - Introdução à automação e robótica,Arduino - Introdução à automação e robótica,-,-,-,-,2024,1,11/03/2024,-,Sim,Sim,AVR090,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/AVR (CEX),Elaine Aparecida Campideli Hoyos (2168045),-,Arduino - Introdução à automação e robótica,Arduino - Introdução à automação e robótica,
2378,Leitura e produção de textos para vestibular/ ENEM,Leitura e produção de textos para vestibular/ ENEM,-,-,-,-,2024,1,22/03/2024,-,Sim,Não,SMP029,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SMP (CEX),Suzy Sayuri Sassamoto Kurokawa (1294040),-,Leitura e produção de textos para vestibular/ ENEM,Leitura e produção de textos para vestibular/ ENEM,
2381,Português para Enem e Vestibulares,Português para Enem e Vestibulares,-,-,-,-,2024,1,21/03/2024,-,Sim,Não,SRT093,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SRT (CEX),Andreia Dias Ianuskiewtz (1878946),-,Português para Enem e Vestibulares,Português para Enem e Vestibulares,
2382,Educação Alimentar e Nutricional: Cozinhadora de Alimentos,Educação Alimentar e Nutricional: Cozinhadora de Alimentos,-,-,-,-,2024,1,04/03/2024,-,Sim,Não,AVR091,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/AVR (CEX),Elaine Aparecida Campideli Hoyos (2168045),-,Educação Alimentar e Nutricional: Cozinhadora de Alimentos,Educação Alimentar e Nutricional: Cozinhadora de Alimentos,
2384,Cursinho preparatório para ENEM - Módulo I (Matemática),Cursinho preparatório para ENEM - Módulo I (Matemática),-,-,-,-,2024,1,18/03/2024,-,Sim,Não,SZN030,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SZN (CEX),Raimundo Nonato Pereira da Silva (1176145),-,Cursinho preparatório para ENEM - Módulo I (Matemática),Cursinho preparatório para ENEM - Módulo I (Matemática),
2385,Cursinho para Vestibulinho,Cursinho para Vestibulinho,-,-,-,-,2024,1,20/03/2024,-,Sim,Sim,SZN031,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SZN (CEX),Raimundo Nonato Pereira da Silva (1176145),-,Cursinho para Vestibulinho,Cursinho para Vestibulinho,
2386,Cursinho preparatório para ENEM - Módulo II (Química),Cursinho preparatório para ENEM - Módulo II (Química),-,-,-,-,2024,1,18/03/2024,-,Sim,Não,SZN032,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/SZN (CEX),Raimundo Nonato Pereira da Silva (1176145),-,Cursinho preparatório para ENEM - Módulo II (Química),Cursinho preparatório para ENEM - Módulo II (Química),
2387,Letramento literário na formação docente,Letramento literário na formação docente,-,-,-,-,2024,1,21/03/2024,-,Sim,Não,PEP022,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/PEP (CEX),Lucas Onofre (1222935),-,Letramento literário na formação docente,Letramento literário na formação docente,
2388,Libras Básico,Libras Básico,-,-,-,-,2024,1,20/03/2024,-,Sim,Sim,CTD050,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Libras Básico,Libras Básico,
2389,Inglês Básico I,Inglês Básico I,-,-,-,-,2024,1,06/03/2024,-,Sim,Sim,CTD051,Presencial,FIC,-,Informação e Comunicação,-,3,Não,Não,Sim,-,-,DRG/CTD (CEX),Rosenir Martins Nunes Chaves (2319341),-,Inglês Básico I,Inglês Básico I,
2392,Danças Sociais,Danças Sociais,-,-,-,-,2024,1,06/03/2024,-,Sim,Sim,JCR015,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/JCR (CEX),Roger Dantas do Prado (2116040),-,Danças Sociais,Danças Sociais,
2395,Inglês para vestibular,Inglês para vestibular,-,-,-,-,2024,1,20/03/2024,-,Sim,Não,SPO051,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SPO (CEX),Caio Cabral da Silva (2146617),-,Inglês para vestibular,Inglês para vestibular,
2396,Inglês para conversação,Inglês para conversação,-,-,-,-,2024,1,20/03/2024,-,Sim,Sim,SPO052,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SPO (CEX),Caio Cabral da Silva (2146617),-,Inglês para conversação,Inglês para conversação,
2398,Métodos de perspectiva arquitetônica para Design de Interiores,Métodos de perspectiva arquitetônica para Design de Interiores,-,-,-,-,2024,1,06/03/2024,-,Sim,Não,JCR016,Presencial,FIC,-,Produção Cultural e Design,-,3,Não,Não,Sim,-,-,DRG/JCR (CEX),Roger Dantas do Prado (2116040),-,Métodos de perspectiva arquitetônica para Design de Interiores,Métodos de perspectiva arquitetônica para Design de Interiores,
2399,Promotoras Legais Populares,Promotoras Legais Populares,-,-,-,-,2024,1,12/03/2024,-,Sim,Não,JCR017,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/JCR (CEX),Roger Dantas do Prado (2116040),-,Promotoras Legais Populares,Promotoras Legais Populares,
2400,Produtoras de Olerícolas,Produtoras de Olerícolas,-,-,-,-,2024,1,01/04/2024,-,Sim,Sim,BRT049,Presencial,FIC,-,Produção Alimentícia,-,3,Não,Não,Sim,-,-,DRG/BRT (CEX),Ana Laura da Silva Castro (1885344),-,Produtoras de Olerícolas,Produtoras de Olerícolas,
2401,Redação para ENEM e Vestibulares,Redação para ENEM e Vestibulares,-,-,-,-,2024,1,19/03/2024,-,Sim,Não,SRT094,Presencial,FIC,-,Desenvolvimento Educacional e Social,-,3,Não,Não,Sim,-,-,DRG/SRT (CEX),Andreia Dias Ianuskiewtz (1878946),-,Redação para ENEM e Vestibulares,Redação para ENEM e Vestibulares,
